IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2023-12-01,AJK,2844147025.6440086,802615145.5063775,2041531880.137631,274231178.02913463,220997415.79989094,15694142.753921743,37539619.47532197,0,71819966.24842975,29569947.032526214,66290883.14186198,-24040863.925958455,0,-202411211.7807049,54496810.0,-13014015.0,0,67510825.0,-243775231.9550931,0,53276868.14186198,35169340.704492055,0.0,-155329023.10873905,2635541134.3934073,749338277.3645154,1886202857.0288918
2024-01-01,AJK,2635541134.3934073,749338277.3645154,1886202857.0288918,139395498.02547818,103838680.50497308,7288742.242689087,28268075.277816024,0,47042436.98386821,14550903.684059506,30951258.078082215,1540275.2217264948,0,-92353061.04160997,46716859.0,-9956903.91,0,56673762.91,-91138363.80375168,0,20994354.168082215,11326845.15775255,0.0,-58817164.47791692,2555729615.747408,728343923.1964332,1827385692.5509748
2024-02-01,AJK,2555729615.747408,728343923.1964332,1827385692.5509748,132161289.80769557,100874908.208941,7070218.115349768,24216163.483404808,0,45016435.99927968,14113312.237271937,30172727.055443328,730396.7065644125,0,-87144853.80841589,82417121.0,-18873963.39,0,101291084.39,-49013772.101131156,0,11298763.665443327,11511560.04836854,0.0,-26203448.387319285,2518227403.6946454,717045159.5309899,1801182244.1636555
2024-03-01,AJK,2518227403.694646,717045159.5309899,1801182244.1636558,117602736.78130877,90534843.17669584,6353418.859160294,20714474.74545264,0,37997788.55288517,12571178.336765781,27000654.5850929,-1574044.3689735152,0,-79604948.2284236,98237962.0,-18659618.89,0,116897580.89,-20938819.15028228,0,8341035.695092898,10895043.68756029,0.0,-1702739.7676290907,2508183628.2319236,708704123.835897,1799479504.3960266
2023-12-01,AJK_RELIFE,374032309.8299593,0.0,374032309.8299593,20346774.004549433,18497067.27686312,1849706.7276863125,-0.0,0,276636.9009335971,577769.9609451323,0.0,-301133.0600115352,0,-20070137.103615835,0.0,0.0,0,0.0,-20647907.06456097,0,0.0,2092298.311862753,0.0,-18555608.752698217,355476701.07726103,0.0,355476701.07726103
2024-01-01,AJK_RELIFE,355476701.07726103,0.0,355476701.07726103,17819045.73661781,16199132.487834375,1619913.2487834375,-0.0,0,-173931418.61065874,531174.4889282569,0.0,-174462593.099587,0,-191750464.34727654,0.0,0.0,0,0.0,-192281638.8362048,0,0.0,950553.126421078,0.0,-191331085.70978373,164145615.3674773,0.0,164145615.3674773
2024-02-01,AJK_RELIFE,164145615.3674773,0.0,164145615.3674773,9391806.879353272,8538006.25395752,853800.6253957519,-0.0,0,844359.4197342081,529654.2346182211,0.0,314705.185115987,0,-8547447.459619064,0.0,0.0,0,0.0,-9077101.694237284,0,0.0,911382.1696593296,0.0,-8165719.524577955,155979895.84289935,0.0,155979895.84289935
2024-03-01,AJK_RELIFE,155979895.84289935,0.0,155979895.84289935,9129788.806219079,8299808.005653707,829980.8005653707,-0.0,0,826487.1670792158,525340.0675929287,0.0,301147.0994862871,0,-8303301.639139863,0.0,0.0,0,0.0,-8828641.70673279,0,0.0,847618.7396097771,0.0,-7981022.967123014,147998872.87577635,0.0,147998872.87577635
2023-12-01,RELIFE,6208656419.059469,30500325.359218683,6178156093.700251,114678219.63008606,116641961.4031066,11650841.819720086,-13614583.592740623,0,42500203.87066196,4874588.046634885,133543.20590568508,37492072.618121386,0,-72178015.7594241,4174800.0,0.0,0,4174800.0,-73011347.01196468,0,133543.20590568508,49756518.496377654,0.0,-23121285.309681334,6185401590.543882,30366782.153313,6155034808.39057
2024-01-01,RELIFE,6185401590.543882,30366782.153313,6155034808.39057,97268948.2076017,89273111.29890288,7995836.908698818,7.504504881431934e-13,0,-520772555.99028695,5608856.169878568,116964.42986401905,-526498376.59002954,0,-618041504.1978886,0.0,0.0,0,0.0,-623767324.7976313,0,116964.42986401905,46455930.82549085,0.0,-577194429.5422764,5608090196.571742,30249817.72344898,5577840378.848293
