IFRS_MONTH,NAMA_PRODUK,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir)
2024-01-01,AJK_SHORT_TERM,4585620.333333333,0.0,4585620.333333333,2047345.3333333333,0.0,0,0.0,0,0,0,1532660.0,-0.0,0,1532660.0,-514685.33333333326,0,0.0,0,0,-514685.33333333326,4070935.0,0.0,4070935.0
2024-02-01,AJK_SHORT_TERM,4070934.999999998,0.0,4070934.999999998,8041635.85,0.0,0,0.0,0,0,0,20726978.0,-0.0,0,20726978.0,12685342.15,0,0.0,0,0,12685342.15,16756277.149999999,0.0,16756277.149999999
2024-03-01,AJK_SHORT_TERM,16756277.149999999,0.0,16756277.149999999,21961354.95,0.0,0,0.0,0,0,0,30760558.0,-0.0,0,30760558.0,8799203.05,0,0.0,0,0,8799203.05,25555480.2,0.0,25555480.2
2024-04-01,AJK_SHORT_TERM,25555480.2,0.0,25555480.2,33870137.666666664,67.0,0,67.0,0,0,0,32763900.0,268.0,0,32763632.0,-1106237.6666666642,0,-201.0,0,0,-1106438.6666666642,24449242.533333335,201.0,24449041.533333335
2024-05-01,AJK_SHORT_TERM,24449242.53333334,201.0,24449041.53333334,125731343.63333334,2131935.28,0,2131935.28,0,0,0,148198378.0,3531870.6,0,144666507.4,22467034.36666666,0,-1399935.3200000003,0,0,21067099.04666666,46916276.9,1400136.3200000003,45516140.58
2024-06-01,AJK_SHORT_TERM,46916276.89999998,1400136.3200000003,45516140.57999998,165339249.4,13032869.02,0,13032869.02,0,0,0,174529661.0,17243014.1,0,157286646.9,9190411.599999994,0,-4210145.080000002,0,0,4980266.519999992,56106688.499999985,5610281.400000002,50496407.09999998
2024-07-01,AJK_SHORT_TERM,56106688.499999985,5610281.400000002,50496407.09999998,138776156.66666666,13596793.466666667,0,13596793.466666667,0,0,0,182609930.0,18260993.0,0,164348937.0,43833773.33333334,0,-4664199.533333333,0,0,39169573.80000001,99940461.83333333,10274480.933333335,89665980.89999999
2024-08-01,AJK_SHORT_TERM,99940461.83333334,10274480.933333337,89665980.9,258628868.63333333,24308533.508333333,0,24308533.508333333,0,0,0,368076986.0,36807698.6,0,331269287.4,109448117.36666667,0,-12499165.091666669,0,0,96948952.275,209388579.20000002,22773646.025000006,186614933.175
2024-09-01,AJK_SHORT_TERM,209388579.20000002,22773646.025000006,186614933.175,404228050.05,39331222.63,0,39331222.63,0,0,0,738709918.0,73870991.8,0,664838926.2,334481867.95,0,-34539769.169999994,0,0,299942098.78,543870447.15,57313415.195,486557031.955
2024-10-01,AJK_SHORT_TERM,543870447.15,57313415.19500001,486557031.955,787713490.3666667,74779618.73666666,0,74779618.73666666,0,0,0,1033962996.0,103396299.6,0,930566696.4,246249505.63333333,0,-28616680.86333333,0,0,217632824.76999998,790119952.7833333,85930096.05833334,704189856.7249999
2024-01-01,ASURANSI WARISANKU,21522790.322351903,5824113.333368,15698676.988983903,3414056.4515849,988648.333349,0,988648.333349,0,0,0,1964000.0,549840.0,0,1414160.0,-1450056.4515848998,0,438808.33334899996,0,0,-1011248.1182358998,20072733.870767,5385305.000019,14687428.870748002
2024-02-01,ASURANSI WARISANKU,20072733.870767,5385305.000019,14687428.870748002,3425002.6881600004,1024603.333328,0,1024603.333328,0,0,0,3116000.0,978180.0,0,2137820.0,-309002.68816000037,0,46423.33332800004,0,0,-262579.35483200033,19763731.182607,5338881.666691,14424849.515916
2024-03-01,ASURANSI WARISANKU,19763731.182607,5338881.666691,14424849.515916,3746862.9032179,1196953.333331,0,1196953.333331,0,0,0,3004000.0,941160.0,0,2062840.0,-742862.9032179001,0,255793.33333100006,0,0,-487069.5698869,19020868.2793891,5083088.33336,13937779.946029099
2024-04-01,ASURANSI WARISANKU,19020868.2793891,5083088.33336,13937779.946029099,4149604.8387289997,1260778.333312,0,1260778.333312,0,0,0,3294000.0,1031290.0,0,2262710.0,-855604.8387289997,0,229488.33331199992,0,0,-626116.5054169998,18165263.4406601,4853600.000047999,13311663.4406121
2024-05-01,ASURANSI WARISANKU,18165263.4406601,4853600.000048,13311663.4406121,4404403.2258013,1364713.333302,0,1364713.333302,0,0,0,5008000.0,1596780.0,0,3411220.0,603596.7741986997,0,-232066.66669799993,0,0,371530.1075006998,18768860.2148588,5085666.666746,13683193.5481128
