IFRS_MONTH,KEY,Liabilitas Kontrak Asuransi (Saldo Awal),Aset Kontrak Asuransi (Saldo Awal),Saldo Bersih Kontrak Asuransi (Saldo Awal),Pendapatan Jasa Asuransi,Ekspektasi Klaim & Beban Attributable (Estimasi),Perubahan pada Penyesuaian Risiko (RA),Perubahan pada CSM (Amortisasi),Pendapatan Jasa Asuransi Lainnya,Beban Jasa Asuransi,Beban Klaim & Biaya Attributable,Amortisasi Arus Kas Akuisisi (Beban),Kerugian dari Kontrak Merugi (Onerous),Beban Jasa Asuransi Lainnya,Hasil Jasa Asuransi Kotor,Penerimaan Premi,Arus Kas Akuisisi Asuransi,Beban Klaim & Beban Jasa Asuransi Dibayarkan,Arus Kas Bersih,Pendapatan (Beban) Keuangan Kontrak Asuransi (P&L),Pendapatan (Beban) Keuangan Kontrak Asuransi (OCI),Alokasi Aset untuk Arus Kas Akuisisi,Komponen Investasi,Perubahan Lainnya,Total Perubahan,Liabilitas Kontrak Asuransi (Saldo Akhir),Aset Kontrak Asuransi (Saldo Akhir),Saldo Bersih Kontrak Asuransi (Saldo Akhir),NAMA_PRODUK
2023-12-01,185_22_2023,46574651.54280771,27800000.0,18774651.54280771,681775.0253574572,546040.0901479056,30604.009014790565,105130.92619476106,0,440000.0,199999.99999999997,240000.0,0.0,0,-241775.02535745723,0.0,0.0,0,0.0,-681775.0253574572,0,240000.0,336773.74894974567,0.0,-105001.27640771156,46229650.266399994,27560000.0,18669650.2664,STAR PROTECTION SECURE PLAN
2024-01-01,185_22_2023,46229650.266399994,27560000.0,18669650.2664,681992.521605772,546040.0901479056,30604.009014790565,105348.42244307582,0,440000.0,199999.99999999997,240000.0,0.0,0,-241992.52160577197,0.0,0.0,0,0.0,-681992.521605772,0,240000.0,223089.97455164744,0.0,-218902.54705412453,45770747.719345875,27320000.0,18450747.719345875,STAR PROTECTION SECURE PLAN
2024-02-01,185_22_2023,45770747.719345875,27320000.0,18450747.719345875,682206.621648524,546040.0901479056,30604.009014790565,105562.52248582782,0,440000.0,199999.99999999997,240000.0,0.0,0,-242206.62164852396,0.0,0.0,0,0.0,-682206.621648524,0,240000.0,388001.0202326961,0.0,-54205.60141582787,45476542.11793005,27080000.0,18396542.117930047,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2023,45476542.11793005,27080000.0,18396542.117930047,682433.0763948732,546040.0901479056,30604.009014790565,105788.97723217704,0,440000.0,199999.99999999997,240000.0,0.0,0,-242433.0763948732,0.0,0.0,0,0.0,-682433.0763948732,0,240000.0,105401.7601644923,0.0,-337031.3162303809,44899510.80169967,26840000.0,18059510.801699664,STAR PROTECTION SECURE PLAN
2024-03-01,185_22_2024,0.0,0.0,0.0,55816.502937506375,45740.3033984062,2574.03033984062,7502.169199259561,0,36666.66666666667,16666.666666666668,20000.0,0.0,0,-19149.836270839704,4000000.0,-2400000.0,0,6400000.0,3944183.4970624936,0,-2380000.0,13537.78021882422,0.0,1577721.2772813179,3957721.277281318,2380000.0,1577721.2772813179,STAR PROTECTION SECURE PLAN
2023-12-01,185_23_2023,206743152.5921302,123900000.0,82843152.59213021,4080792.459841797,3296702.730593372,184670.27305933723,599419.4561890878,0,2658333.333333333,1208333.3333333333,1450000.0,0.0,0,-1422459.126508464,80000000.0,-48000000.0,0,128000000.0,75919207.5401582,0,-46550000.0,1997439.9237115756,0.0,31366647.463869773,284659800.056,170450000.0,114209800.056,STAR PROTECTION SECURE PLAN
2024-01-01,185_23_2023,284659800.056,170450000.0,114209800.056,4081700.6957007665,3296702.730593372,184670.27305933723,600327.692048057,0,2658333.333333333,1208333.3333333333,1450000.0,0.0,0,-1423367.3623674335,0.0,0.0,0,0.0,-4081700.6957007665,0,1450000.0,981448.183217857,0.0,-1650252.5124829095,281559547.5435171,169000000.0,112559547.54351708,STAR PROTECTION SECURE PLAN
2024-02-01,185_23_2023,281559547.5435171,169000000.0,112559547.54351708,4082657.2982541583,3296702.730593372,184670.27305933723,601284.2946014489,0,2658333.333333333,1208333.3333333333,1450000.0,0.0,0,-1424323.9649208253,0.0,0.0,0,0.0,-4082657.2982541583,0,1450000.0,975764.066001568,0.0,-1656893.2322525904,278452654.3112645,167550000.0,110902654.3112645,STAR PROTECTION SECURE PLAN
2024-03-01,185_23_2023,278452654.3112645,167550000.0,110902654.3112645,4083639.4086187053,3296702.730593372,184670.27305933723,602266.4049659958,0,2658333.333333333,1208333.3333333333,1450000.0,0.0,0,-1425306.0752853723,0.0,0.0,0,0.0,-4083639.4086187053,0,1450000.0,1414459.07239189,0.0,-1219180.3362268154,275783473.9750377,166100000.0,109683473.97503768,STAR PROTECTION SECURE PLAN
2024-01-01,185_23_2024,0.0,0.0,0.0,393781.072731246,294045.34569059976,14404.534569059977,85331.19247158628,0,275000.0,124999.99999999999,150000.0,0.0,0,-118781.07273124601,30000000.0,-18000000.0,0,48000000.0,29606218.927268755,0,-17850000.0,99080.0772320251,0.0,11855299.00450078,29705299.00450078,17850000.0,11855299.00450078,STAR PROTECTION SECURE PLAN
